Review,Original summary,s
i have been using agave nectar for several months now and have found it to be a staple in my home agave nectar is good tasting it was a good buy ,yummy , great product
this stuff is great because it is low glycemic substitute this to sugar and you will be doing your body a great favor this size is economical and shipping is fast too i got mine very soon ,healthy stuff , great product
this is an awesome product which i have ordered many times honey like flavored lower glycemic sweetener that is great in coffee or tea ,sweet , delicious
thank you for this product we use it all the time and appreciate your and the price was excellent thanks again ,great product , great product
i am on a low glycemic index diet to help control my blood sugar and hormone levels my nutritionist recommended agave nectar as a sweetener since it is gi index is in the low as opposed to honey in the low and sugar in the mid i have tried supermarkets health food stores and wholesale clubs the prices are usually around for a oz bottle and this is ish for x oz it is used like honey substitute c for every c sugar and reduce liquids by th br br i also use it in a carrot cake recipe equal substitution instead of sugar where i substitute whole wheat flour instead of white flour and i do not decrease the other liquids it is delicious and you would never know that is it is actually good for you ,best price on that i have found , great product
i am very disappointed with this product because i could not see how many calories it has at the time i ordered it i received it and now i can see it has calories per tablespoon granulated sugar has only calories per tablespoon how could agave nectar be better than sugar ,how this could be good , not as good as it is
i was out to dinner with friends family at the in complex in fl besides having an awesome staff ask for and fabulous food the is a must they serve china mist tea this is the st time i chose the tropical organic green i have no doubt it is the best flavored tea i have ever had ,best tea i ever had , great tea
if you have tried the conventional kettle crinkle chip salt and you cannot compare these to those these are easily some of the most spicy chips you will ever eat but enjoyable you finish the bag and the is just coated with spices great stuff ,that is a spicy , not as good as it is
these are the best tasting tortilla chips i have ever had i have become allergic to tomatoes but i love tortilla chips there is so much flavor in these chips that i no longer miss pico de i prefer to eat them plain they also have just the right amount of heat to make them but not spicy ,who needs salsa when chips taste this good , delicious
these potato chips are delicious i have not had potato chips in approximately two years as it has been difficult to find organic chips amazon lowered the price on these and i finally had a chance to order them i most definitely will be ordering them again my family and i love them they are pure and void of all artificial flavorings the true flavor is present and it the need for something salty sweet spicy and crunchy a ,delicious , great chips
these chips are a great snack if you do not want all the junk with chips try them you will like them ,organic yummy chips what more can you for , great chips
i love these chips the flavor is not plain they are sweet and spicy all at the same time the only drawback is it has a tad bit too much salt but it still a great flavor ,very different flavor , great chips
t like hot food they might be a bit much for you they have a great balance of sweetness and spice of course kettle chips are just good chips they use good oil to make them and even the plain ones are tasty i also like that they are chips those are usually too crunchy and hard to chew for me i do not want to have to work that hard for my deliciousness if you like spicy barbecue you will definitely like these chips ,these are the best available bbq chips , great chips
just the right amount of spice to make them hot and they are also sweet very hard to find in new jersey can not have just one bag around ,my favorite chips from kettle , great taste
i cannot believe how wonderful this chip is the slightly spicy after taste gives the chip extra punch and flavor my family and i are addicted ,amazing taste best chip ever , delicious
these chips are perfect for snacking with or without salsa the texture is brittle and thin like other plocky chips br br the only downside the spice is minimal ,tasty , great chips
i think plocky brand as a whole is a cut above in quality but i found these to lack in taste somewhat and be a little greasy ,sweet whole grain , not as good as
these are the best chips i have ever eaten everyone in our family loves them sweet but spicy crispy really good delivery was perfect no crushed chips fantastic overall ,yummy chips , great chips
a nice case of chips that are quite tasty i definitely enjoy the kettle sea salt and black pepper i just wish they were bigger bags ,tasty , great chips
i ordered these this week from my organic foods delivery service oh my word spicy but not burning spicy more like tongue warming salty a really strongly flavored and delicious chip if you like barbecue flavor this is a nice sweet br br i also like that it is organic br br i ate the oz bag in less than minutes my bad but if they are not delicious br br granted oz is not a whole lot it was skimpy for the price which is often the case when it comes to organic but it was calories at a pop br br yes cals per oz serving that is about par for the course for fried chips br br verdict fattening crispy flavorful delicious best to stick to very small servings on the side of a low fat sandwich or soup br br enjoy br br ,so for those to chips , not as good as i be
at first you think that these chips are not all that spicy but the spice will grow on you with each bite they are really very good ,the spice will grow , great chips
i cannot say enough good things about plocky chips i have purchased this flavor and the black bean flavor a href http www amazon com gp product b g plocky tortilla chips black beans n rice ounce bags pack of a and i love them they taste better than more well known brands and are very satisfying i have never eaten a tortilla chip that did not make me feel guilty afterwards not with plocky i always eat less and feel satisfied i actually prefer these eaten by themselves no dips and i keep a bag in my desk at work i have even had them for lunch when there is no time to grab something i bring them to work to share with friends and they love them too i am a fan of plocky chips and will continue to purchase them on amazon ,the best tortilla chips i have ever , the best chips i have ever had
my aunt gave me a bag of these and i was immediately addicted there are actual pieces of beans in the chips and they are not overly salty like other chips i love the zip agreed they are awesome without salsa and no trans fat ,an excellent chip , great chips
i was so excited thinking they had my favorite discontinued kettle flavor but was disappointed when i opened the box and found this substitution i am keeping them but would not have ordered bags of this flavor it is a very good bbq chip but i could get this flavor at the grocery store why oh why do my favorite food items always get discontinued the one star is for the substitution the country bbq is a start chip but not the chip i for ,wrong flavor got country bbq instead of chili , great product
we love these chips they can be eaten alone since they are so crisp and tasty or with a dip every one that we have introduced the chips to loves them and the expiration date is for months from now so ordering bags did not come near to them going stale ,great , great chips
i bought these chips and wanted to try if they were tasty it sure is unique and different flavor and the right thickness br br it remains crunchy spicy and flavorful with a hint of tabasco and paprika sauce for heat there are some rice granules with the tortilla chips however some of the spices are lacking from this chip but i liked this very much br br i would recommend this to anyone who wants to try a red beans and rice tortilla chips go ahead you can put other ingredients as nachos except the cheese maybe some el shredded meat tomatoes ,rice and beans tortilla chips , great chips
i love these chips for its unique taste and incredible crispy texture used to get them at in san diego ca before we moved out of there and have been ordering them from amazon since running out of them constantly ,huge fan of these chips , great chips
these chips are the only ones i found to be tasty and healthy they have fewer fat calories plus higher fiber for those who want good taste and nutrition the perfect blend ,tortilla chips tasty and healthy , great chips
we love these cannot always get them in local stores they do not keep them stocked even though we are always buying them out strong enough to dip in any condiment great flavor and grain texture ,grain tortilla chips , great taste
these spicy chips have a lot of great flavor but be warned you will be left with some breath afterwards the first time i ate these was at night and then even after brushing and i could taste them in my mouth the next morning so just be careful about when you eat them especially if you will be hanging out with people later in the day ,tasty but make sure you have gum , great chips
the first time i ate these chips was in in i could not find them in our area ct so you can imagine my joy when i found them on amazon i love these and hope you continue to carry them your prices are terrific too i pay in and they run about a bag when i buy the case of through amazon good job only problem is now everybody wants them here and they steal my bags when the case comes in but that is ok sharing is good ,do not these chips , great chips
i used to buy these at the local supermarket but they are no longer carried there finding them on amazon i purchased a box and found they were fresh and delicious as i remembered for chips they are also very healthy i definately will buy them again ,delicious and healthy , great chips
plocky red beans and rice tortilla chips are really tasty i shared a few bags with my daughter in iraq she said ummm they are good they are good for you too no artificial stuff ,unique and tasty tortilla chips , great chips
we like plockys br they like us br plockys plockys br mean no fuss br taste so good br and healthy too br plockys plockys br grab a bag or two br thank you plockys ,to my , good but not great
i love these potato chip they r soooo good sweet and spicy but not overwhelming just enough to work up the palate not salty just enough to balance out the sweetness i will be ordering these again soon love it ,yummy , great snack
the best potato chips i have ever had at the best price i have ever paid the service was and the shipping free ,kettle organic potato chips , great chips
i love this product all of the different flavors are fantastic my family likes the grain the best no more corn tortilla chips in this house ,best , great product
love these chips and i do not even like black beans very tasty yum plus good for you ,delicious and , great chips
these chips are salty with a hint of sweet they are crisp and crunchy they are the best chips i have ever had ,really good chips , great chips
we ordered these only because the black beans and rice which we really really love was out of stock after about a week we finally opened up a package and then kicked ourselves for not having tried them earlier there is a little kick to them after you swallow them to let you know you have had a hint of hot pepper of some sort we took them to a pot luck that night and came home with an empty bag i used them from another bag as a garnish on a salad that i took to the pot luck and we came home with an empty salad bowl br we will definitely order these again a href http www amazon com gp product b plocky tortilla chips red beans n rice ounce bags pack of a ,tortilla chips red beans n rice , great chips
i was first introduced to the red rice beans chips in my of pa when i moved to north carolina i was unable to find these chips in my local area on my trips back home i would buy a bunch of bags to bring back with me to then i discovered that i could order them on line and life was great these chips are my all time favorite and everyone that i serve them to loves them just the same you just gotta try them you will be hooked ,simply the best , great chips
ok if you do not want to get addicted do not try plocky red beans and rice tortilla chips my husband and i started with one seemingly bag from a store now we have just received our second case it will not last long beware ,addicted , great chips
my husband who being mexican is very picky about his tortilla chips and i absolutely love these the texture is light and crispy rather than thick and crunchy he actually usually prefers a very hearty chip like el but the flavor of these is so fantastic that we are both with them the bean rice and corn base makes them incredibly flavorful and they have a touch of onion and garlic in addition to that we go through an amount of them i never ever like plain chips but these i can eat without anything else although they are particularly amazing with a fresh salsa i highly recommend these ,perfect tortilla chip goodness , great chips
a href http www amazon com gp product b plocky tortilla chips red beans n rice ounce bag pack of a i first tasted these chips while visiting relatives in ky they are not available where i live so i ordered them from amazon wow my friends and family are all addicted to them the spicy flavor you at the first bite once a bag is open it is gone ,these chips are addictive , great chips
we like these chips for salsa and better than any other on the market they are even great by themselves we will order these as long as they are available thank you for making them br br ,best tortilla chips ever , great chips
i guess there is no telling what will the palate i am a huge tabasco fan and i love snacks but these do not taste to me even remotely like the wonderful sauce they are made from i did not find them to have much of a kick at all practically bland in fact even with my strong to wasting food i had to throw out or give away most of the case do yourself a favor and find a bag of these locally before taking a chance on ,meh , not as good as it is
yeast extract is listed as an ingredient sounds right specifically these chips contain yeast extract which is on a chemical level it is just derived from a different source but it has all the same toxic properties kettle still advertises their products as containing no msg while they that their chips are not safe for people with msg sensitivities ,the organic is misleading , delicious and healthy
these were not flavorful enough for my taste it seems that all the seasoning falls off the chips and to the bottom of the bag too bad because i really liked the idea of a healthier potato chip i would not buy these again ,kind of bland , good chips but not as good as you are
plocky chips are made of several whole grains and have a touch of sweetness they are a little lower in fat and sodium than regular tortilla chips the flavor out performs any tortilla chip i have ever eaten they hold up great to salsas and dips nothing wimpy about them i just wish the company made a bigger bag love them usually found in the organic foods section of the grocery but seem to be difficult to obtain as the shelf is always empty order by the case you will be glad you did as they disappear fast ,delicious chips , great chips
i love these chips and ordered them after i had some in florida my case of chips came without any packing inside all bags in a box with no at all needless to say most of the chips were broken and i would not order them again a great item but if they cannot package to aid in minimal chip breakage then one is wasting their money ,broken chips but tasty , great chips
i received this chips in a gift basket and absolutely loved them i searched high and low but was unable to find them until i saw them here i immediately ordered a case these chips are light crispy flavorful and good for you i love them with dip in chili or just plain once you try them you will be hooked ,the best chips ever , great chips
these chips are truly amazing they have it all they are light crisp great tasting nice texture and they are all natural and low in fat and sodium need i say more i recently bought a bag of them at a regular grocery store and could not my taste buds that is why i excited why i saw them here on amazon and decided to buy a case ,excellent tortilla chips , great chips
these are the most fantastic chips i have ever had i could eat the whole bag myself they are made with lots of whole grain and beans and make a complete protein so i have no about feeding them to my kids as snacks they are great the only problem i have with them the bag is too small we need a bigger bag ,black beans never tasted so good , great chips
i did not like these potatoe chips it is hot and sweet with an overwhelming taste of garlic it is also a bit salty ,not my favorite chip , good chips
they did a very good job with shipping the order quickly nothing like hardware who took a week to ship ,very delivery , not as good as
long story short these are very tasty we have purchased a number of flavors from this brand this is my favorite br br but as noted by another reviewer these contain msg in the form of yeast extract br br it has become a popular means of hiding msg lately by calling it different things as a person who now finds himself having to use more caution in what i consume i find the whole process of hiding in plain site very br br also the bag is not very large but half of it is air this may well help in shipping but when paying a premium price for organic it just seems more deceptive ,very tasty but beware , great taste
wonderful candy hard to find i got a huge bag and put it in freezer it came shipped nicely in a sturdy box and heavy plastic just great ,great candy , great taste
i bought s for my dad for a surprise birthday present because he could not find them any where else ,candy , great product
so surprised to find the shaped pineapple cakes they are so cute br i ve never found any pineapple cake like this at our local asian supermarkets so i ordered some from here these lovely made our dragon festival party much more fun my friends and i think it is a good idea to order them again for our mid festival party ,cute cute cute , great taste
i really like the pineapple shortcakes sold here unlike some of the mass production pineapple shortcakes that use artificial flavoring pineapple shortcakes use real and it makes the whole world difference you can even taste the from pineapple br br i opted for the traditional pineapple this time i will be interested in trying out the or mango variety next time ,a find , not as good as it is
i purchased this pack of big ass soda and only got immediately i was all like oh man this is gonna suck regardless of the quantity error though it sure kicked some red br br everyone in my town absolutely loves it i highly recommend along with other soda br br ,taste , great taste
well being the big red fan that i am i bought some of this first of all let me tell you the price is amazing i mean where else can you get this type of deal in everyone in loved it of course now they are wondering when the next shipment will get it ,amazing , good
expiration date smashed and stale edible not real enjoyable for the price i paid one of the best pretzel i had when br i purchased them from publix they stopped carrying them i must find another addiction ,a bit on the stale , not as good as it is
this cinnamon cake loaf has a wonderful natural flavor it is moist and tender and a great little sweet treat when you want something that is not terribly bad for your diet it is delicious ,delicious , delicious
unfortunately having ordered quite a few of these previously i to not look for the word in this offer and since i was then receiving free shipping had delivered we that is my husband guests and me knew immediately that these were different from those previously enjoyed but currently amazon featured the babka and now i am awaiting to receive these in the future i will read more carefully ,disappointed , great product
under the crust was an goo the best i can it to is a white version of the blue goop the mother serves for dinner in better of dead no raisins in it though br i tried to stir it together and the end result was goo with white in it when the knife to spread it long on goo from my knife br i opted for making my own frosting instead very easy a little palm shortening a lot of powdered sugar a tiny splash of vanilla a tiny bit of salt and rice milk as needed for consistency beat for minutes and i had the fluffy butter cream frosting i thought i would get from br br i wonder if our can was in the store whole foods or something br i ve read positive reviews of their frosting mix so maybe i will try that next time ,something was wrong with the batch , good but not as good as i be
well i opened it and it is sticky mess i am so mad at myself for wasting my money and not trying to make it from scratch at home which would probably end up better and cheaper oh well live and learn ,down the , not as good as it is
i love kitchen and have tried almost all of their products i was excited to try the ready to spread frosting as i do not usually keep the needed ingredients on hand for their box frosting i am not a picky eater especially if the item contains sugar but this was horrible the consistency is absolutely nothing like regular canned frosting it is not light and fluffy it is very gooey i cannot even imagine trying to spread it on a cake it would rip it to pieces because it is so thick and gooey i did not even try it on a cake because the taste and texture were so off putting seriously do not waste your money ,big disappointment , not as good as it is
this product was such a disappointment as all the other reviewers said it is a gluey sticky texture more akin to glue than to an edible food product the flavor was sickening sweet i actually thought that the frosting had spoiled it was that bad save yourself the time and i paid and make your own frosting or go with another brand cake and cookie mixes are so good it is hard to believe they even sell this ,worst ever , not as good as it is
i am glad i found this on the reduced rack for c the taste was not bad but no way i could my cake it stuck to the knife ran down in what a mess i too thought i had gotten a bad batch my birthday cake looks like crap who would buy this mess horrible ,worst ever , not as good as it is
i recently purchased this on sale at my local grocery store now i know why it was on sale br br this is not a fluffy creamy white frosting you would expect to find when opening the jar now i was not expecting it to be just like betty crocker but it was pretty bad like others said it is a gluey mess that would completely ruin a cake if you tried to spread it on it reminds me of taffy that has not quite hit the right stage in the candy making process the taste is not that great either and it is sickeningly sweet even for frosting the only thing it might be used for is a frosting for cinnamon buns i still do not think it would be the right consistency ,kitchen vanilla , not as good as it is
of rubber and since we were in a time crunch we did not have the luxury of going back out to the store for a different frosting so we ahead and a cake with it horrible experience bad enough to put us off cake decorating forever it spread about as easily as chewing gum stuck to everything it came in contact with and got crumbs of the cake mixed up in it on top of all this it did not even taste good by the time we were done decorating we knew there was no way we could feed this mess to our family so we ended up going to the store anyway to buy a pre made cake our cake which took twice as long to decorate because this stuff is so gooey was used as a centerpiece a really centerpiece that cracked and peeled as the frosting dried ,do not buy this , not as good as it is
i work in college aid and keep a bowl of these on my desk for the students i used to buy them in the grocery store then learned i could get them for less online for lb bag and thought that was a good deal until i found this great deal ,for all , great product
well worth the money i did the on different bags and this dollar amount is an excellent value there are approx pops in the box so far i have been through about half the box and have found about without wrappers that is pretty good considering if you need lbs of go for this product enjoy ,lots of pops , good
plenty with some brands of canned meats the proportion of liquids to meat was fair too it is not one of those with a spoonful of meat and the rest is liquid either though it does all need to be cooked and quite a bit due to high fat content in the meat none of the meat was seasoned at all this is very helpful as the meat can be used with any flavoring there is a mild spam like texture and taste to the meats but way better than spam any day almost a brine or something that is why i heavily seasoned it do not plan on frying anything in the fat from these meats it gave everything a slightly rancid taste no idea why due to the higher calories and higher price i will only stock this as emergency food i will buy more for that reason ,when you have no but want what do you do , not as good as i like
a watered down of the acai berry br br this juice comes on strong and harsh with tart aftertaste and no texture br br that because it is mostly apple juice grape juice pomegranate juice blackberry juice blueberry juice and tart cherry juice oh yeah there is some acai berry juice mixed into this concoction br br you shall not find that distinctive smooth chocolaty acai flavor here there is no milky mouth pleasing texture neither for that exotic unique acai experience try or brands br br i m not saying that this lakewood juice product is not nutritious that is not my point i am saying that it is a juice blend that does not taste anything like the real acai juice ,of taste , not as good as it is
the pasta is firm and it has an excellent flavor br br there are no artificial flavors colors or preservatives the pasta was produced without antibiotics synthetic hormones or pesticides br br this pasta is simple to make and it has a wonderful texture there are servings per box oz each serving contains cal g fat sat g fat mg mg sodium g carb g fiber g sugars g protein br br however the cheese is not exactly sufficient even when you add the butter milk or yogurt to add that wonderful rich smooth cheese flavor that accompanies mac and cheese you will have to add your own organic cheese br br the cheese packet falls flat on flavor and it does not contain a sufficient amount to coat the pasta i give this mac and cheese a on packaging for maintain organic integrity on texture and a for flavor ,organic whole wheat white cheese oz , not as good as i be
if this flavor lasted longer than it does i would probably die of for lack of wanting to take it out of my mouth ,the flavor of the , great taste
this gum is super sick are flavor is a this brings back bomb memories yo peace out ,gum of the , great taste
my husband and i were very disappointed in this coffee very weak watery cup of coffee a definite waste of ,not much in this brew , good coffee
commercial brand that is widely available bluegrass starts is flat in the middle then ends with a complex interesting flavor kikoman is less salty initially and has a round full flavor in the middle does not have the complex flavors for me the initial saltiness of bluegrass is a minus and kikoman full middle flavor is a plus i kikoman especially for dipping sushi where the flavor is more direct but i lived in japan for many years and am used to the standard japanese flavor i have not tried bluegrass blended in other food as a background flavor which is how soy sauce is usually used br bluegrass is a perfectly good soy sauce each brand has a different flavor and everyone has their favorite if you want a unique kentucky gift for an asian friend this is different than the standard bottle of bourbon or box of chocolate ,good soy sauce but not special good as unique gift , i love it
i watched an o how things are made on and saw bluegrass soy sauce featured on a whim i ordered a bottle it took several weeks to arrive but when it did what a surprise my teenage son wanted to try it and did he loved it immediately now he puts it on many things my wife and i were very pleasantly surprised and liked it very much in the past i made many trips to the far east and developed a real liking for soy sauce where virtually all of it is made what a treat to find a handmade american product that with and wins against a japanese chinese national staple ,what a surprise , not as good as it is
my bottle arrived just in time for a sushi dinner and game night planned with friends i had three soy sauces to choose from after some sampling we were all using the bluegrass everyone enjoyed the light smoothness a subtle sweetness we were right on every piece rather that dipping friends wanted to know where i found it i am going back to order more right now and i will be ordering extra bottles because they are going to make a great little gift that is affordable and unique instead of the traditional bottle of wine that so common it is boring ,gets my , great product
if you enjoy the flavor of soy you will really like this br br plus its hand made in the good ole usa ,and i though was good , great taste
i recently acquired a bottle of this and was immediately impressed it has good flavor without all the excessive saltiness of supermarket brands i have used it for marinades and dipping sauces in addition to straight use and in all cases it has added a little something extra quite a surprise to find an american made soy sauce that tastes this good ,better than in the , not as good as it is
this soy sauce is the best we have ever had thanks to amazon we were able to find it again it makes a big difference when using this product thanks again ,best soy sauce ever , best sauce ever
this is the most delicious soy sauce i have ever tasted i will surely order it again such deep flavor ,great sauce , delicious
saw this on how it is made which was a very interesting process br decided to give it a try i really enjoy the flavor it adds br looking forward to trying it on several more dishes br thanks to those who brewed it ,outstanding product , not as good as it is
most soy sauce is from japan but they are having problems with in their soy bean fields i am not sure how long the contamination will last i like the idea this product claims no gmo seeds you pay more but decided not to take a chance on japan ,non , best ever
i am pleased with these was not sure how they would be able to the classic flavors of caramel apples but figured werther was a good bet i am diabetic so down a real caramel apple when the mood just cannot happen as often as i would like to do so but these are tasty enough to get me through until i can carb budget the real thing these are made with sugar so it is wise to limit how many are eaten in a day unless you are going to be near home and have flush on your this pack of will last a while but they are definitely a will reorder ,amazingly true to flavors , not as good as i be
this item werther sugar free hard candy if consumed will give you or your friends loose i purchased bags and discovered more than a bowel problem you cannot return them need a laxative i have ten unopened bags you can have for free ,it is a , the best
this is a bold blend that has a great taste the flavor comes bursting through i usually brew drink organic sumatra from bj i use this blend exclusively so to get a cup that the complex flavor from my tassimo brewer is fantastic come on amazon add it to the subscription service ,good tasting cup o , great coffee
we have tried many tassimo flavors this is by far our favorite our normal cup of coffee is starbuck house blend out of a cuisinart pot but one or two days a week we use our tassimo this coffee is rich but not too stong i do not understand the current price over for and hope that it will be lowered on amazon for now we will buy elsewhere ,best of the , best coffee ever
this is one of the best choices in my opinion i also adore amazon but they need to a better price for their tassimo these are available at beyond for and i always get off which brings it down to they were before the off readily available coupons until about months ago again this is an excellent blend with full flavor not bitter i think it is my favorite ,great coffee terrible price , great coffee
i have tried about of the available t discs and the kona blend is one of the best regular unflavored coffees for tassimo it has a nice smooth flavor that is not overpowering and has a pleasant aroma personally i would enjoy it more if it were stronger bolder however being a bit mild it goes well with breakfast and or gluten free baked goodies i find it mildly that this product is not available from nor is a subscription service available originally found this at dead from beyond used a coupon and was happy with the final price ,one of the better t , great product
carefully at the photo of the disc you can see that information and there is a legal disclaimer saying that the product may not match exactly with the description so it is my fault for not reading more carefully but i was happy to see what i thought was kona and was not careful i have bought the kona before in a local store and did know that there was such a product in the tassimo discs but i just read the product title and ordered br br as i said the coffee tastes good the amount of coffee is the usual amount neither the small cups of some european coffees or the extra large size and i would recommend the coffee just be aware that this is blended coffee with only kona and do not expect it to come in a as it did when amazon prime delivered it ,rating both coffee and , not my favorite
of all the coffee available for tassimo this kona has the richest flavor and fantastic aroma by br far my favorite ,kona for , great coffee
i think these are my favorite cookies ever really light and creamy too bad you can no longer find them anywhere for less than two hundred count i do not think i need that many ,best , great taste
this kind of tea not good taste and smell so wear it is not like tea and feel like some thing chemical ,of tea t get it , great tea
strawberry all are delicious though i do not like strawberry chocolate in any candy personally and give those away to eager friends the box are perfect for coffee tables and as a dish at work br br milka and its famous purple cow is owned by kraft is an eastern european chocolate originally produced in and is available in germany and other nearby countries br br is still weak in the united states but can be found in larger usually then it is found only in international grocery stores though it pops up in grocers from time to time it has been around years whether or not kraft will change the recipe has yet to be seen for now the texture and taste are better than hershey and nestle it is a smoother creamier basic chocolate br br i fully recommend the milka mix gift box br br br com ,perfect of chocolate , a great for your
i ordered for my dad for day and he ate the whole box within two days br he said it tasted really good now i want to order some for myself haha ,really liked these , great product
great candy and our family loved it it was smaller than i imagined it and i thought it was expensive for how small it was however i am in germany and can get it easier here the shipping to the usa makes it great product and fun for our usa family to receive ,great candy my family loved it , great product
i eat mustard with everything this is hands down the best mustard i have ever tried in fact everyone i tell to try some falls in love with it as well spicy tasty real quality br if you like spicy mustard you will love this ,yummy , great taste
the turned bad in a few days after we received it no other item inside our fridge turned bad ,horrible dont buy it , not as good as
this product works wonders if you have stomach issues i would buy again once i need more ,tea works great , great product
bought this at a local specialty item store because i adore chutney because of the higher price and being sold like a gourmet item i wrongly thought it would be better than the affordable brands sold at the supermarket wrong it is mostly gel jelly with a few fruits sprinkled throughout and tastes like cheap thickened jelly you put on sandwiches i ve had much better and that is just talking about the supermarket brands very disappointed money does not buy quality ,where are the , not as good as it is
our ferret loves this rabbit it is a nice high protein treat in addition to his regular evo ferret diet the price was reasonable compared to our local pet store which does not often have this item in stock ,our loves this , great product
my son made this he did not have the patience to be precise about the water temperature and when half an hour before it was done it appeared not to have at all i for the worse determined to be i agreed to have a sandwich using the bread it was amazing apparently it during the baking or something br br great tangy flavor perfect for a meat sandwich imho and not heavy at all fortunately we had lots of deli meats since the whole loaf disappeared within the hour br br we ve had all but the bread so far i am sure that will be delicious as well ,fantastic , great product
these were great just as described used them for a bee themed party and now we use them as to go packs of honey for our coffee and tea ,great little treats , great for
this is not dust which is edible and made for baking do not purchase this product for such purposes ,not edible , not as good as it is
i was very happy with the quick shipping as i needed it for a school product for my daughter but when it came in the roof was broken and the corner of the house was broken i could not send it back as i needed for a project ,shipping , not as good as it is
small hard candy decorations hazard br br comes with everything you need except bowls an spoons br contains br cookie pieces br large bag yellow colored icing east to mix with just fork you add water slowly as to not get to thin br small white icing bag you add water slowly br green color to add to small amount of white br clear br plastic tips can save to reuse br small candy for decoration hazard br strawberry licorice rope br small tube of orange writing icing br hard candy decoration about diameter br gummy about tall br gummy patrick about tall br br icing set up hard so when you go to eat it has to be apart in pieces cookies do get a little softer in the middle br br make anytime of year leave off and patrick and cut out head so does not look like ,loved making this as easy enough to do by with any can do this , great product
this is not as easy as it looks does not came with enough yellow frosting and the frosting does not stick very well my year old did like making it though ,not as easy as it looks , not as good as it is
money each year with them this one also came broken i order a lot from amazon and things do not come broken i think only one time have i had returned something because it was broken in of orders but two of the same thing in a row i think it is the kit itself and nothing to do with how it was shipped i will say most come ups and overnight comes fed but it is bubble wrapped very well i think the gingerbread is not good and cracks in shipping and breaks off the rest of the kit is very cute the first kit the candies had spilled out and where a mess in the box but the second kit while the gingerbread was all broken up again the candies were all in their bags too bad but i would try something else stay away from this one ,not one but twice came broken , not bad but not bad
i was pleasantly surprised to find this item had been delivered the day after my order my delivery to date it probably helps my location is near everything looks just as described and pictured and i am very happy to have done business with this seller the gingerbread house was carefully packaged as not to harm the fragile pieces inside i am excited to give this item as a gift ,house , great product
these cookies were fun to paint but not too tasty to eat br the kids did not really care much but it might have been br more fun if they could have eaten them br br they really had fun coloring them ,fun to , good snack
i was disappointed in this product because i thought it would be bigger br also it did not come with enough icing i had to use my own ,disappointment , not as good as it
the whole idea of a ginger bread pineapple is really great but the sticker that says use by has a date on it if thats this is not good i think it would be fun to make and a cute decoration but my son is going to want to eat it the least the seller could do is to check the expiration date its right on the front of the box not happy at all ,cute item but , not as good as it is
this tea carries the flavor one would expect from the smell terrible it like a puncture and the only is that after drinking you discover that you are still alive br br well one tea bag was enough for me my mother in law said oh that smells kind of like wine okay kind of like wine with a hint of and a moldy aftertaste if she likes it she can have the whole box ,if i could give a rating one star , not as good as i like
this tea is the best tea i have ever had i first tasted it in and had to find it in the states i have it every morning ,delicious , great tea
i love the aroma and the taste of the fruit and vanilla combo and the addition of ginseng for an added energy boost rounds this tea out nicely for me it is a sweet tea which makes it a wonderful healthy alternative to desert after dinner br br i see that others did not like it but it is really a matter of personal taste different for different horses ,i love this tea to own taste , not as good as it is
the best chocolate in the world in this critic opinion is made in the united states and the best chocolate in the united states is made in california by the ghirardelli chocolate company it is surely the best chocolate that one can find in so many stores etc throughout the united states their actual stores are rare but kroger wal mart formerly and a long list of other grocery stores and many stock their products br br i have never encountered milk chocolates with caramel filling to the quality of these these are chocolates of you can eat them quickly or take your time and savor every moment of eating every one the choice is up to you ,there is , best hot chocolate i have ever had
this is a good quality brand of chocolate with many flavours of which this is just one very tasty and a fast delivery too ,caramel chocolate , great taste
my mother and father were the recipient of these wonderful pieces of chocolate heaven they did not believe they deserved receiving these but i know they did deserve to receive these ,chocolate heaven , good flavor
this is the best caramel chocolate combination i have ever tasted the caramel is liquid and the ghiradelli chocolate perfectly do not try this brew if you are attempting to lose weight you will end up an addict like me br the ghiradelli product is far better than the caramello hershey product in every way the caramello chocolate lacks the refined taste of the ghiradelli squares and the caramello caramel is harder and not as sublime in taste comparing the two is like comparing to myself in terms of unfortunately i am the caramello bar in this regard br at the very least try the ghiradelli ,heavenly , not as good as it is
of course we all know how delicious ghirardelli chocolate is unfortunately after i purchased two of these gift bags online i found them in a local store for half the price lesson learned ,great chocolate , delicious
this chocolate treat is a great gift and it arrived right when i expected it to i gave it to my girlfriend as a surprise gift and she absolutely loved it ,great item , great taste
are people really paying bucks for these chocolates go to any grocery store and by them for a bag wow ,is this , good
low calorie and satisfying these soups are a nice fill in when you do not want too much but do not want to be hungry for a few hours ,yum , good
